CustomerTypeId,IsActive,DateOfBirth,CustomerEstablishedDate,CreatedBy,CustomerRelationshipTypeId,PrimaryPhone,SecondaryPhone
Individual,FALSE,3/18/1969,12/28/2022,Sales,VIP,(610) 555-0104,
Government,TRUE,1/14/1969,4/3/2023,Sales,Standard,(951) 555-0179,
Business,TRUE,12/28/1973,2/21/2024,Sales,Standard,(628) 555-0175,
Individual,TRUE,5/11/2005,10/31/2020,Sales,VIP,+55 1000000,
Individual,FALSE,7/12/1953,11/4/2021,Sales,Premium,(575) 555-0186,
Individual,FALSE,1/4/1952,12/30/2020,Sales,Premium,(678) 555-0154,
Individual,TRUE,2/1/1983,2/20/2025,Sales,VIP,(860) 555-0188,
Business,TRUE,12/30/1966,3/31/2022,Sales,Premium,(607) 555-0188,
Individual,TRUE,10/2/1973,11/3/2023,Sales,Premium,+39 1000001,
Business,FALSE,2/3/1953,12/8/2020,Sales,Premium,(980) 555-0114,
Individual,FALSE,4/29/1962,8/4/2022,Sales,Standard,+39 1000002,(703) 555-0193
Government,FALSE,5/12/1979,6/17/2022,Sales,Standard,(240) 555-0120,
Business,TRUE,12/15/1952,4/26/2024,Sales,Standard,(360) 555-0146,(225) 555-0105
Individual,TRUE,9/7/1978,10/9/2023,Sales,Premium,(423) 555-0117,+34 2000000
Individual,TRUE,1/3/2007,12/10/2023,Services,Standard,(813) 555-0185,
Individual,TRUE,2/4/1952,2/6/2023,Sales,Standard,(719) 555-0166,
Individual,FALSE,9/16/1971,5/5/2024,Sales,Standard,(573) 555-0188,(352) 555-0122
Individual,FALSE,9/15/1962,1/31/2022,Sales,Premium,+86 1000003,
Individual,FALSE,4/12/1984,2/29/2024,Sales,Standard,(331) 555-0163,(219) 555-0125
Individual,FALSE,5/11/1945,12/6/2020,Sales,Premium,(843) 555-0152,(917) 555-0137
Individual,TRUE,8/31/1969,7/30/2022,Services,Premium,(320) 555-0158,
Individual,TRUE,2/25/1939,1/17/2021,Sales,Premium,+34 1000004,
Individual,FALSE,11/8/2004,9/30/2022,Sales,Standard,(848) 555-0101,
Individual,FALSE,5/19/1928,4/5/2024,Sales,VIP,(715) 555-0150,
Individual,TRUE,11/2/1998,10/26/2020,Sales,Standard,(480) 555-0175,
Business,TRUE,1/26/1967,5/18/2020,Sales,Standard,+86 1000005,
Individual,TRUE,5/5/2002,12/24/2020,Sales,Premium,(803) 555-0193,
Individual,FALSE,1/9/1985,4/15/2022,Sales,Standard,(806) 555-0157,(516) 555-0116
Individual,TRUE,1/29/1924,3/2/2024,Sales,Premium,(626) 555-0130,(906) 555-0111
Individual,TRUE,2/18/1973,11/9/2023,Sales,Standard,(401) 555-0100,(478) 555-0184
Individual,TRUE,3/3/1984,6/15/2024,Sales,Premium,(302) 555-0100,
Individual,TRUE,9/9/1952,7/27/2023,Sales,VIP,(718) 555-0153,
Individual,TRUE,2/11/1971,7/18/2024,Sales,Standard,+44 1000006,
Government,TRUE,11/28/2005,4/27/2021,Sales,Standard,(443) 555-0179,
Government,TRUE,9/2/2005,6/27/2022,Services,Standard,(667) 555-0116,
Business,TRUE,8/25/1999,2/8/2023,Sales,Standard,(419) 555-0112,
Individual,TRUE,8/28/1974,5/15/2022,Services,Standard,(404) 555-0144,(575) 555-0172
Individual,TRUE,11/5/2000,5/18/2020,Sales,Standard,(216) 555-0171,
Individual,FALSE,6/5/1990,9/22/2022,Sales,Standard,(951) 555-0112,(814) 555-0109
Individual,TRUE,12/5/1995,3/10/2021,Sales,Standard,(859) 555-0134,
Individual,TRUE,8/13/1932,5/23/2021,Services,Premium,(731) 555-0185,(878) 555-0113
Individual,FALSE,3/26/1979,9/29/2020,Sales,Standard,(786) 555-0133,
Individual,TRUE,2/8/1968,1/27/2023,Sales,Premium,(206) 555-0189,
Government,TRUE,1/6/1963,11/22/2024,Sales,Standard,(732) 555-0158,
Individual,TRUE,8/28/1992,2/16/2025,Sales,Standard,(603) 555-0103,(228) 555-0187
Individual,TRUE,9/13/1960,4/13/2020,Sales,Standard,(216) 555-0177,
Individual,TRUE,5/10/1983,5/22/2023,Sales,Standard,(307) 555-0114,(980) 555-0160
Individual,TRUE,6/28/1981,11/19/2024,Services,Standard,(847) 555-0134,
Individual,TRUE,10/25/1965,8/14/2024,Sales,Premium,(458) 555-0134,
Individual,TRUE,10/10/1985,1/31/2022,Sales,Standard,(307) 555-0123,
Government,TRUE,7/31/1955,2/25/2022,Sales,Premium,(602) 555-0170,(856) 555-0137
Business,TRUE,12/7/2006,6/13/2020,Sales,VIP,(339) 555-0198,
Government,TRUE,11/17/1995,9/25/2022,Sales,Premium,(580) 555-0169,+86 2000001
Business,TRUE,2/28/1968,2/19/2025,Sales,Premium,(847) 555-0167,(301) 555-0187
Individual,TRUE,3/16/1963,6/3/2021,Sales,Premium,(765) 555-0191,
Government,FALSE,7/10/1978,7/31/2023,Services,Standard,+39 1000007,
Individual,TRUE,12/28/1974,5/31/2021,Services,Premium,(952) 555-0195,
Individual,TRUE,6/4/1971,10/18/2021,Sales,Premium,+49 1000008,
Individual,TRUE,2/4/1972,9/4/2021,Services,VIP,(941) 555-0114,
Individual,TRUE,12/22/1991,6/12/2020,Sales,Premium,(740) 555-0144,(703) 555-0141
Individual,TRUE,1/22/1954,3/24/2025,Sales,Standard,(361) 555-0156,(940) 555-0197
