#,First name,Last name,Full name,Language,Gender,First name (native),Last name (native),Full name (native)
1,Rita,Viinikainen,Rita Viinikainen,Finnish,Female,Rita,Viinikainen,Rita Viinikainen
2,Antero,Tuominen,Antero Tuominen,Finnish,Male,Antero,Tuominen,Antero Tuominen
3,Jaakko,Yli-Sirniö,Jaakko Yli-Sirniö,Finnish,Male,Jaakko,Yli-Sirniö,Jaakko Yli-Sirniö
4,Carita,Aalto,Carita Aalto,Finnish,Female,Carita,Aalto,Carita Aalto
5,Carita,Hasu,Carita Hasu,Finnish,Female,Carita,Hasu,Carita Hasu
6,Elias,Hyyppä,Elias Hyyppä,Finnish,Male,Elias,Hyyppä,Elias Hyyppä
7,Terje,Möttölä,Terje Möttölä,Finnish,Gender neutral,Terje,Möttölä,Terje Möttölä
8,Isse,Salomäki,Isse Salomäki,Finnish,Gender neutral,Isse,Salomäki,Isse Salomäki
9,Aurora,Repo,Aurora Repo,Finnish,Female,Aurora,Repo,Aurora Repo
10,Leila,Järvelä,Leila Järvelä,Finnish,Female,Leila,Järvelä,Leila Järvelä
11,Jani,Vasala,Jani Vasala,Finnish,Male,Jani,Vasala,Jani Vasala
12,Marja,Kestilä,Marja Kestilä,Finnish,Female,Marja,Kestilä,Marja Kestilä
13,Anette,Rautakorpi,Anette Rautakorpi,Finnish,Female,Anette,Rautakorpi,Anette Rautakorpi
14,Manu,Mallat,Manu Mallat,Finnish,Male,Manu,Mallat,Manu Mallat
15,Konsta,Koivunen,Konsta Koivunen,Finnish,Male,Konsta,Koivunen,Konsta Koivunen
16,Taina,Hasu,Taina Hasu,Finnish,Female,Taina,Hasu,Taina Hasu
17,Hannes,Niemi,Hannes Niemi,Finnish,Male,Hannes,Niemi,Hannes Niemi
18,Veli,Koivula,Veli Koivula,Finnish,Male,Veli,Koivula,Veli Koivula
19,Viljo,Putkonen,Viljo Putkonen,Finnish,Male,Viljo,Putkonen,Viljo Putkonen
20,Sointu,Kauppi,Sointu Kauppi,Finnish,Female,Sointu,Kauppi,Sointu Kauppi
21,Aili,Möttölä,Aili Möttölä,Finnish,Female,Aili,Möttölä,Aili Möttölä
22,Noora,Linna,Noora Linna,Finnish,Female,Noora,Linna,Noora Linna
23,Harri,Mylläri,Harri Mylläri,Finnish,Male,Harri,Mylläri,Harri Mylläri
24,Sointu,Kauppi,Sointu Kauppi,Finnish,Gender neutral,Sointu,Kauppi,Sointu Kauppi
25,Viljo,Kurri,Viljo Kurri,Finnish,Male,Viljo,Kurri,Viljo Kurri
26,Selma,Pakarinen,Selma Pakarinen,Finnish,Female,Selma,Pakarinen,Selma Pakarinen
27,Muisto,Linna,Muisto Linna,Finnish,Gender neutral,Muisto,Linna,Muisto Linna
28,Sirja,Seppälä,Sirja Seppälä,Finnish,Female,Sirja,Seppälä,Sirja Seppälä
29,Oma,Yli-Sirniö,Oma Yli-Sirniö,Finnish,Gender neutral,Oma,Yli-Sirniö,Oma Yli-Sirniö
30,Annika,Mäkinen,Annika Mäkinen,Finnish,Female,Annika,Mäkinen,Annika Mäkinen
31,Kalevi,Laurinen,Kalevi Laurinen,Finnish,Male,Kalevi,Laurinen,Kalevi Laurinen
32,Jukka-Pekka,Enestam,Jukka-Pekka Enestam,Finnish,Male,Jukka-Pekka,Enestam,Jukka-Pekka Enestam
33,Utu,Linna,Utu Linna,Finnish,Gender neutral,Utu,Linna,Utu Linna
34,Frans,Vasala,Frans Vasala,Finnish,Male,Frans,Vasala,Frans Vasala
35,Ensi,Vasala,Ensi Vasala,Finnish,Gender neutral,Ensi,Vasala,Ensi Vasala
36,Taina,Stenvall,Taina Stenvall,Finnish,Female,Taina,Stenvall,Taina Stenvall
37,Karita,Puurunen,Karita Puurunen,Finnish,Female,Karita,Puurunen,Karita Puurunen
38,Tommy,Somervuori,Tommy Somervuori,Finnish,Male,Tommy,Somervuori,Tommy Somervuori
39,Vilma,Waltari,Vilma Waltari,Finnish,Female,Vilma,Waltari,Vilma Waltari
40,Jari,Kantee,Jari Kantee,Finnish,Male,Jari,Kantee,Jari Kantee
41,Liisi,Pyysalo,Liisi Pyysalo,Finnish,Female,Liisi,Pyysalo,Liisi Pyysalo
42,Oona,Leppänen,Oona Leppänen,Finnish,Female,Oona,Leppänen,Oona Leppänen
43,Kuura,Kalliomäki,Kuura Kalliomäki,Finnish,Gender neutral,Kuura,Kalliomäki,Kuura Kalliomäki
44,Taneli,Kalliomäki,Taneli Kalliomäki,Finnish,Male,Taneli,Kalliomäki,Taneli Kalliomäki
45,Tuisku,Tuominen,Tuisku Tuominen,Finnish,Gender neutral,Tuisku,Tuominen,Tuisku Tuominen
46,Pontus,Jutila,Pontus Jutila,Finnish,Male,Pontus,Jutila,Pontus Jutila
47,Nour,Mylläri,Nour Mylläri,Finnish,Gender neutral,Nour,Mylläri,Nour Mylläri
48,Sirkka,Salpa,Sirkka Salpa,Finnish,Female,Sirkka,Salpa,Sirkka Salpa
49,Katri,Korhola,Katri Korhola,Finnish,Female,Katri,Korhola,Katri Korhola
50,Kaarle,Yli-Sirniö,Kaarle Yli-Sirniö,Finnish,Male,Kaarle,Yli-Sirniö,Kaarle Yli-Sirniö
51,Tarja,Hyypiä,Tarja Hyypiä,Finnish,Female,Tarja,Hyypiä,Tarja Hyypiä
52,Emma,Reho,Emma Reho,Finnish,Female,Emma,Reho,Emma Reho
53,Ilse,Suutari-Jääskö,Ilse Suutari-Jääskö,Finnish,Female,Ilse,Suutari-Jääskö,Ilse Suutari-Jääskö
54,Miika,Wahlman,Miika Wahlman,Finnish,Male,Miika,Wahlman,Miika Wahlman
