CustomerId,CustomerTypeId,CustomerRelationshipTypeId,DateOfBirth,CustomerEstablishedDate,IsActive,FirstName,LastName,Gender,PrimaryPhone,SecondaryPhone,PrimaryEmail,SecondaryEmail,CreatedBy
CID-001,Individual,VIP,1960-03-18,2021-02-08,True,Tsehayetu,Abera,Female,(940) 555-0117,,tsehayetu@contoso.com,,Sales
CID-002,Government,Local,1960-01-14,2018-05-19,False,Antra,Abola,Female,(808) 555-0161,,antra@contoso.com,,Services
CID-003,Business,SMB,1964-12-28,2020-09-22,True,Ida,Abolina,Female,(980) 555-0166,,ida@contoso.com,,Sales
CID-004,Individual,Standard,1996-05-11,2019-03-11,True,Deniz,Acar,Male,(636) 555-0166,(859) 555-0230,deniz@contoso.com,,Sales
CID-005,Individual,Premium,1976-12-07,2019-05-24,True,Guner,Aktas,Male,(805) 555-0160,,guner@contoso.com,,Sales
CID-006,Individual,VIP,1950-04-29,2018-09-30,True,Danaite,Alemseged,Female,(551) 555-0193,,danaite@contoso.com,,Sales
CID-007,Individual,Standard,1986-02-01,2021-01-27,True,Asmerom,Ambaye,Male,(661) 555-0195,(717) 555-0286,asmerom@contoso.com,,Sales
CID-008,Business,SMB,1957-12-30,2018-04-14,True,Kiana,Anderson,Female,(616) 555-0120,,kiana@contoso.com,,Sales
CID-009,Individual,Standard,1964-10-02,2021-05-22,False,Jakob,Anhalt,Male,(501) 555-0112,,jakob@contoso.com,,Sales
CID-010,Business,Partner,1986-02-03,2020-02-01,True,Elisabeth,Arcouet,Female,(937) 555-0173,,elisabeth@contoso.com,,Sales
CID-011,Individual,Premium,1953-04-29,2020-02-26,True,Enric,Argilaguet,Male,(763) 555-0103,,enric@contoso.com,,Sales
CID-012,Government,State,1970-05-12,2018-06-14,True,Ernest,Arquimbau,Male,(940) 555-0169,,ernest@contoso.com,,Services
CID-013,Business,SMB,1955-09-10,2020-05-02,True,Murat,Arslan,Male,(757) 555-0132,,murat@contoso.com,,Sales
CID-014,Individual,Standard,1960-04-05,2019-06-04,False,Winta,Asemelash,Female,(252) 555-0107,,winta@contoso.com,,Sales
CID-015,Individual,Standard,1950-03-13,2018-10-11,True,Gokce,Aslan,Female,(906) 555-0136,,gokce@contoso.com,,Sales
CID-016,Individual,Standard,1969-02-04,2019-06-01,True,Abbi,Atkins,Female,(336) 555-0121,,abbi@contoso.com,abbi@fabrikam.com,Sales
CID-017,Individual,VIP,1962-09-16,2019-10-19,True,Diana,Aunina,Male,(360) 555-0120,(364) 555-0200,diana@contoso.com,,Sales
CID-018,Individual,Premium,1953-09-15,2019-09-05,True,Nils,Aunins,Female,(434) 555-0134,,nils@contoso.com,,Sales
CID-019,Individual,VIP,1975-04-12,2018-06-13,True,Claude,Aupry,Male,(405) 555-0104,(386) 555-0238,claude@contoso.com,,Sales
CID-020,Individual,VIP,1941-05-11,2018-03-05,True,Hasan,Aydin,Male,(513) 555-0145,,hasan@contoso.com,,Sales
CID-021,Individual,Premium,1960-08-31,2021-01-19,True,Jonas,Baar,Male,(701) 555-0147,,jonas@contoso.com,jonas@fabrikam.com,Sales
CID-022,Individual,Premium,1935-02-25,2021-02-14,True,Anna,Baginska,Female,(786) 555-0155,,anna@contoso.com,,Sales
